IdMovie,IdActor
1,48068
1,49592
1,8756
2,33734
2,18881
2,26555
3,17058
3,22320
3,61058
3,12181
3,57956
3,57607
4,45503
4,49663
4,46005
4,16512
4,42544
4,28658
5,23568
5,7901
5,9861
5,46711
5,26996
5,43396
5,26511
5,54841
6,50333
6,26003
6,29595
6,16404
7,22276
7,25401
7,12567
7,49636
7,34602
7,55298
7,59571
7,45829
7,59303
7,17753
7,20660
7,57912
7,60794
7,15463
7,20743
7,41889
7,58086
7,1878
7,22864
7,55797
7,52028
7,14663
8,9098
8,38619
8,18774
8,35216
8,52276
8,14706
8,43283
8,21325
8,33648
8,53057
8,11082
8,38928
8,58367
8,51581
8,57835
8,8873
9,43727
9,8222
9,38724
10,23854
10,11779
10,26410
11,52314
11,29507
11,37976
11,50189
11,53267
11,27436
11,37807
11,26925
11,25403
11,8246
11,8313
11,52169
12,7980
12,11331
12,5468
13,5490
13,17838
13,47456
13,12844
13,56758
14,53841
14,46525
14,33315
14,29823
14,51155
14,5653
14,2147
14,3193
14,11477
14,50890
14,53578
15,55183
15,15085
15,18162
15,34111
16,43566
16,37284
16,29451
16,36358
16,39419
16,36511
16,43793
16,45258
16,24431
16,39993
16,54554
16,41867
17,15100
17,28768
17,13002
18,39689
19,58568
20,50495
20,35604
20,48099
20,19937
20,56153
20,42544
20,28364
20,43996
21,24579
22,36333
22,34689
22,22812
22,14896
23,19731
23,45191
24,20607
24,9729
24,53835
24,15339
24,46987
24,20069
24,25309
24,31158
25,41924
25,49359
25,55660
25,21766
25,48281
25,50136
25,43335
25,2306
25,24190
25,40048
25,57474
25,17859
25,17888
25,45600
25,36159
25,34018
26,24579
27,47487
27,15413
27,15628
27,20587
27,41299
28,33941
28,31053
29,20569
29,19725
29,57692
29,654
30,26406
30,36716
31,195
31,31075
31,34280
32,32301
32,14031
33,12645
33,9904
33,56976
33,1025
33,20829
33,28070
34,24579
35,24579
36,26569
36,19071
36,20033
36,57074
36,62118
36,20228
36,16729
36,9133
36,41709
36,45787
36,24760
36,29063
36,48144
37,35338
37,1154
37,46978
38,17278
38,28238
38,37108
38,59069
39,48397
40,21196
41,58437
42,42039
43,39282
44,58437
45,58437
46,58437
47,58437
48,58437
49,58437
50,58437
51,58437
52,58437
53,50549
53,39929
53,30381
53,21755
53,20953
54,8431
54,43642
54,2900
54,30227
54,22222
54,52036
54,36851
54,43364
54,42544
54,43993
55,9611
55,55956
56,9611
56,55956
57,4045
57,1986
57,32051
57,18244
57,25474
57,5568
57,45387
57,52225
57,20558
57,50230
58,21262
59,52639
59,53826
59,44851
59,993
59,7100
59,61604
60,18319
60,57571
60,52796
60,21404
60,31605
61,8557
61,6839
62,9889
62,21458
63,62126
63,44233
63,56793
63,14996
63,15564
63,35690
63,26825
63,50520
63,53513
63,28111
63,45038
63,25220
64,23715
64,9696
64,54868
64,43771
64,51736
64,7353
64,46352
65,59834
65,56244
65,27085
66,8629
66,22862
66,52931
66,23562
66,10590
67,27658
68,12969
68,37461
68,21812
69,11106
70,60165
71,24579
72,8797
73,24579
74,18599
74,45760
74,47256
74,2129
74,9571
74,62174
74,40590
74,42079
74,31381
75,24579
76,32904
77,24579
78,24579
79,24579
80,6398
80,7091
80,35745
81,24820
81,57557
82,30888
82,14448
83,18129
83,7886
84,44352
84,26656
85,5144
85,57019
85,25466
85,17087
85,1517
85,49334
85,51084
85,26515
85,620
85,58975
85,26331
85,7799
85,17568
85,10754
85,40504
85,34741
85,38229
85,14019
85,45885
85,42936
85,34581
85,31904
86,57381
87,7331
87,41540
87,46907
88,17346
88,14630
88,17706
89,38894
89,6944
90,17248
90,59552
90,30881
90,44132
90,4878
90,58118
90,56978
90,28673
90,32811
90,10562
90,50735
90,22756
90,23776
90,21319
90,14729
90,33994
90,6005
90,6349
90,54982
90,4191
90,104
90,39690
90,1685
90,25886
90,30000
90,13950
90,33742
90,20905
90,30562
91,653
91,8722
91,23290
91,7592
91,51856
91,3337
91,30447
91,25464
91,47171
92,24579
93,51794
94,16807
95,16807
96,12946
96,19163
97,4138
97,29745
97,34819
98,26284
98,41031
99,24579
100,23934
100,14451
100,25757
100,25441
100,24228
101,24579
102,4606
102,38347
102,34945
102,17368
102,17991
102,31934
102,34843
102,20625
102,24964
102,41920
102,20686
102,5144
102,23779
102,49384
102,31861
102,1106
102,13494
102,34386
102,20090
102,59727
102,2517
102,32456
102,38046
102,48170
102,46867
102,52640
102,17259
103,26477
103,3744
103,30016
104,24579
105,21254
105,23375
105,24065
105,48215
105,38773
105,43399
105,39418
105,33525
105,21525
105,34797
106,39036
106,23448
106,37030
107,24579
108,35609
109,24579
110,39440
111,24579
112,9004
113,29969
113,13094
113,34253
113,9000
114,54659
